timestamp,cpu_util_experiment-baseline-with-latency-node-instance-2,io_read_experiment-baseline-with-latency-node-instance-2,io_write_experiment-baseline-with-latency-node-instance-2,iops_read_experiment-baseline-with-latency-node-instance-2,iops_write_experiment-baseline-with-latency-node-instance-2,cpu_util_experiment-baseline-with-latency-node-instance-3,io_read_experiment-baseline-with-latency-node-instance-3,io_write_experiment-baseline-with-latency-node-instance-3,iops_read_experiment-baseline-with-latency-node-instance-3,iops_write_experiment-baseline-with-latency-node-instance-3,cpu_util_experiment-baseline-with-latency-node-instance-1,io_read_experiment-baseline-with-latency-node-instance-1,io_write_experiment-baseline-with-latency-node-instance-1,iops_read_experiment-baseline-with-latency-node-instance-1,iops_write_experiment-baseline-with-latency-node-instance-1,cpu_util_experiment-baseline-with-latency-client-instance,io_read_experiment-baseline-with-latency-client-instance,io_write_experiment-baseline-with-latency-client-instance,iops_read_experiment-baseline-with-latency-client-instance,iops_write_experiment-baseline-with-latency-client-instance,cpu_util_experiment-baseline-with-latency-central-server-instance,io_read_experiment-baseline-with-latency-central-server-instance,io_write_experiment-baseline-with-latency-central-server-instance,iops_read_experiment-baseline-with-latency-central-server-instance,iops_write_experiment-baseline-with-latency-central-server-instance
2021-07-20 21:37:00+00:00,0.05994823126843111,0,853701,0,100,0.056206214637467625,20686,849866,1,86,0.06087893202904126,0,660285,0,57,0.09388174196554525,0,725655,0,110,0.04824036727305744,0,637448,0,61
2021-07-20 21:36:00+00:00,0.060281109656356094,0,679015,0,62,0.055555829232929455,137048,864772,6,90,0.06112416562610434,0,861999,0,99,0.09978758596103414,1109318,641753,44,93,0.0495568013025552,0,1677222,0,137
2021-07-20 21:35:00+00:00,0.09241616065083727,444753,1226073,10,148,0.11542545865778682,815639,1640901,39,184,0.07042816361566413,482963,1069388,18,124,0.18621019906719974,565983,928697,20,140,0.39396039212444595,1295455,6669053,34,399
2021-07-20 21:34:00+00:00,0.13214929154615382,1996463,1670910,43,200,0.08658074720717224,3823043,1505607,151,187,0.13696996991230984,2146669,1794972,82,203,0.0077657670985485545,676758,336761,18,52,0.6074045143375433,1555361,6450747,41,370
2021-07-20 21:33:00+00:00,0.06268211087713381,0,983582,0,130,0.05758567186932595,15672,686838,0,64,0.061613952649295804,22566,727996,2,78,0.005870701935682139,285765,45074,8,10,0.0448104782227053,0,574922,0,53
2021-07-20 21:32:00+00:00,0.06150952433867947,105225,598505,2,50,0.05736006325753114,86728,728123,3,75,0.06270937203784635,100314,703768,7,68,0.008840089651711716,0,674259,0,89,0.04506438052456947,0,574567,0,50
2021-07-20 21:31:00+00:00,0.06123571865662332,472311,817283,10,85,0.05881713389094282,627,747979,0,81,0.061231185039697295,33096,626833,1,51,0.08200367095500855,0,1434150,0,210,0.04688691671470716,11168,545884,0,44
2021-07-20 21:30:00+00:00,0.06052466162557124,0,744415,0,80,0.05791695234281965,3469,751826,1,74,0.06270090514209888,177217,948374,6,114,0.18922337604196213,0,1091784,0,152,0.0486564670500537,15269,594279,1,56
2021-07-20 21:29:00+00:00,0.058362741353098116,0,851933,0,104,0.05846563849351819,0,706969,0,71,0.06072338467528008,133751,690187,6,66,0.15113802578349342,0,1189910,0,167,0.047507035491515616,2235,620362,1,55
2021-07-20 21:28:00+00:00,0.0593572643200512,0,773014,0,80,0.05635590609455458,10656,764074,1,79,0.06268472065785365,24070,1079101,1,144,0.14284773445406648,0,1485351,0,212,0.048934987175272227,1861,759945,0,84
2021-07-20 21:27:00+00:00,0.05953734588176236,61934,718969,4,73,0.05873480504970037,95331,748018,5,69,0.06366174535233426,113020,905224,2,111,0.20250545509067305,0,1000711,0,139,0.053068193530606315,13403,958086,2,127
2021-07-20 21:26:00+00:00,0.06014463864265688,278034,599546,20,48,0.058623840896331096,201213,734363,8,77,0.061321244710034264,31263,841277,1,94,0.13718406990583767,0,837200,0,118,0.053457395036948206,13408,929064,2,113
